waktu,username,text
2022-08-18 11:14:44+00:00,💜 BTS_ArmyHelpCenter INDONESIAN,"b'Diadakan pada hari Minggu, 21 Agustus 2022 pukul 19.00 WIB di Twitter Space.\n\nDiskusi buku ini akan membahas hal-ha\xe2\x80\xa6 https://t.co/RQ66fLJKI1'"
2022-08-18 00:40:52+00:00,IG: @radiosmartfm959,"b'NOW AIRING\n\n#SmartEmotion bersama @anthony_dmartin yang membahas topik mengenai ""Mental &amp; Emotional Toughness: Puli\xe2\x80\xa6 https://t.co/Ubgh5Fc18y'"
2022-08-17 17:06:50+00:00,Hippo,"b'Over feel, over trust, over love, over think. Emang ya dimana-mana semua yang berlebihan ga baik si buat mental alias capek cok \xf0\x9f\x99\x82'"
2022-08-17 12:58:49+00:00,105.8 MUJAHIDIN FM PONTIANAK,"b'Ikhwahfillah, kebersamaan malam ini, hadir program #SEJIWA (Ngobrol seputar kesehatan mental dan jiwa). yuk bareng\xe2\x80\xa6 https://t.co/FFuc2nndp3'"
2022-08-17 10:08:17+00:00,raen,"b'@Sungjun667 00 pas, akun satu lgi juga mental goib keknya\xf0\x9f\x98\xad'"
2022-08-17 09:58:30+00:00,zee,b'Jadi panitia 17an harus kuat mental karna ibu ibunya bzbzbzbz\xf0\x9f\x98\x90\xf0\x9f\x98\x90'
2022-08-17 09:08:34+00:00,Revolusi Mental,"b'Gabung bersama kita hari Kamis, 18 Agustus 2022, pukul 19.00 WIB di berbagai platform media sosial Revolusi Mental.\xe2\x80\xa6 https://t.co/101H5fvPjc'"
2022-08-17 06:48:10+00:00,zikry,b'RT @Qusyzhr1: @brgsjks benda yang melibatkan trust issue ni better elakkan lebih-lebih lagi kalau kau ada anxiety. It\xe2\x80\x99s not good for your m\xe2\x80\xa6'
2022-08-17 06:36:56+00:00,Anthony Dio Martin,"b'Radiotalk &amp; Youtube Live: ""MENTAL TOUGHNESS: PULIH LEBIH CEPAT, BANGKIT LEBIH KUAT""\n\n*Smart Emotion  RADIOTALK*\n*KA\xe2\x80\xa6 https://t.co/zSdhAoKIdF'"
2022-08-17 00:00:31+00:00,ShekhaR_007,b'@NinadJ34 @Himanshusb2 @Megatron9091 @Arbind03052852 @SafrronM @_agamya_ @BKPspeaks @00__000000__00 @AnewsPuree\xe2\x80\xa6 https://t.co/AnndnOZvZW'
2022-08-16 22:52:12+00:00,korban dua centang biru,"b'RT @aulmaulidiana: Gpp menghindar dari orang-orang yang selalu bikin mental kita down, karna membahagiakan diri sendiri itu jauh lebih pent\xe2\x80\xa6'"
2022-08-16 16:18:45+00:00,Raj,b'@ShekhaR_0079 @SafrronM @_agamya_ @BKPspeaks @00__000000__00 @AnewsPuree @NamitaJaiHind @Deepak_Talking\xe2\x80\xa6 https://t.co/AIm04FSc3b'
2022-08-16 12:09:31+00:00,radio_kotabatik,"b'#NOW\n\nTalkshow Anda &amp; Keluarga\n\nDengan Tema ""Mengukur Usia Mental Diri Sendiri"" Bersama Nara Sumber : Psikolog Rizk\xe2\x80\xa6 https://t.co/HrYcolRnPh'"
2022-08-16 11:30:12+00:00,𝐦𝐞𝐧𝐞𝐦𝐩𝐞𝐥𝐤𝐚𝐧,"b'Mental yang lemah lebih parah dari fisik yang lemah.\n\nFollow untuk kata bijak, motivasi, dan quotes lain. Produk di\xe2\x80\xa6 https://t.co/DAJ6daK0ed'"
2022-08-15 13:54:46+00:00,about me...,"b'@wattpadmenfess_ dear j, seokjin, 00.00, tulisan sastra...\ng baca krna masih belum siap mental \xf0\x9f\x98\xa9'"
2022-08-15 12:35:07+00:00,Oca|Nana🐰💚,"b'Puji syukur, Alhamdulillah kesampaian juga dapet nilai 4.00\xf0\x9f\x98\xad\xf0\x9f\x99\x86\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f proud of me, yang udah bisa jalanin semester 2 in\xe2\x80\xa6 https://t.co/vxl3NMrKq5'"
2022-08-15 02:36:52+00:00,Hi! Panggil Aja Len,"b'RT @squidwrd__: Pernah gak sih ngerasa gak jadi diri sendiri, kayak lo dituntut buat menuhi standarisasi yang bikin lo gak nyaman. Lo ngera\xe2\x80\xa6'"
2022-08-14 16:48:51+00:00,"Utami, Larasati Putri","b'pembinaan mental buat porda td pagi, luv ma korfball team\xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x92\x95 | porda tahun ini tuan rumah sleman, digelar dr tgl 1-\xe2\x80\xa6 https://t.co/FjmwIPcWR9'"
2022-08-14 13:23:50+00:00,Darrxn,"b'Mungkin klo bkn krna hasil krja krs &amp; berdoa . gw ga bisa sampe detik ini , ga bisa secepat skrg untuk ngebanggain\xe2\x80\xa6 https://t.co/hyop52sYKv'"
2022-08-14 01:09:11+00:00,Isti Qomah,"b'RT @cangkaruk_: gaperlu ngejar seseorang yang mengabaikanmu, biarkan dia pergi. jangan mengemis pada seseorang untuk tetep tinggal sama km,\xe2\x80\xa6'"
2022-08-14 01:06:37+00:00,mic-HEE-l Jordan,"b'RT @enginafess: -en njin, AYO KUATKAN MENTAL KALIAN YH \xf0\x9f\x99\x8f\xf0\x9f\x98\x8c https://t.co/CqwpStwqiA'"
2022-08-13 14:51:36+00:00,ravi,"b'waktu hari kedua buka counter gua juga sempet salah input nominal yang harusnya 15,000,000 gua malah input 15,00 sa\xe2\x80\xa6 https://t.co/SiJgFTauQd'"
2022-08-13 13:43:02+00:00,Nana,b'RT @kingturtle07: @FOODFESS2 gue setiap liat cerita tentang kehilangan orang tua gini rasanya nyesek bgt kayanya gue belom siap kehilangan\xe2\x80\xa6'
2022-08-13 10:21:59+00:00,🧸,b'@parmittttt @selaluujackpot @i_m_mortal_ Andro tuh delay sih emang beda berapa mili detikkk.. besok aku coba dehh p\xe2\x80\xa6 https://t.co/5wGbKIsW0k'
