words,happiness,anger,sadness,fear,disgust
abai,1.85,1.4,1.31,1.26,1.47
adem,4.32,1.12,1.14,1.1,1.04
ajaib,4.07,1.19,1.31,1.25,1.22
aman,4.11,1.24,1.33,1.47,1.08
apatis,1.85,1.4,1.31,1.26,1.47
asusila,1.28,2.3,1.94,1.94,3.7
bahagia,4.08,1.34,1.31,1.8,1.52
baik,4.08,1.34,1.31,1.8,1.52
bandel,1.28,2.3,1.94,1.94,3.7
bangga,3.18,1.55,1.29,1.58,1.26
bejat,1.28,2.3,1.94,1.94,3.7
beken,3.32,1.3,1.21,1.2,1.38
berat,1.65,2.22,1.75,2.21,1.4
berisik,1.39,2.97,1.39,1.41,1.45
berkenan,3.18,1.55,1.29,1.58,1.26
bermartabat,3.32,1.3,1.21,1.2,1.38
bernoda,1.28,2.3,1.94,1.94,3.7
bersedia,3.18,1.55,1.29,1.58,1.26
berseri,4.38,1.07,1.14,1.08,1.08
biadab,1.41,3.14,2.68,2.27,2.94
bimbang,1.14,2.41,3.02,4.09,1.83
bingung,1.14,2.41,3.02,4.09,1.83
bising,1.39,2.97,1.39,1.41,1.45
brutal,1.28,2.3,1.94,1.94,3.7
buruk,1.28,2.3,1.94,1.94,3.7
cabul,1.28,2.3,1.94,1.94,3.7
capek,1.05,3.5,3.91,3.47,2
cemas,1.14,2.41,3.02,4.09,1.83
cemong,1.28,2.3,1.94,1.94,3.7
ceria,4.38,1.07,1.14,1.08,1.08
ciut,1.14,2.41,3.02,4.09,1.83
cuek,1.85,1.4,1.31,1.26,1.47
curiga,1.14,2.41,3.02,4.09,1.83
dekil,1.28,2.3,1.94,1.94,3.7
dibantah,1.05,3.5,3.91,3.47,2
dibuang,1.05,3.5,3.91,3.47,2
didesak,1.05,3.5,3.91,3.47,2
didorong,1.05,3.5,3.91,3.47,2
dilempar,1.05,3.5,3.91,3.47,2
dingin,1.85,1.4,1.31,1.26,1.47
disangkal,1.05,3.5,3.91,3.47,2
ditolak,1.05,3.5,3.91,3.47,2
enteng,3.92,1.11,1.15,1.19,1.09
fantastis,4.07,1.19,1.31,1.25,1.22
fenomenal,4.07,1.19,1.31,1.25,1.22
gaduh,1.39,2.97,1.39,1.41,1.45
gampang,3.92,1.11,1.15,1.19,1.09
gawat,1.65,2.22,1.75,2.21,1.4
gelisah,1.14,2.41,3.02,4.09,1.83
gembira,4.08,1.34,1.31,1.8,1.52
gemetar,1.14,2.41,3.02,4.09,1.83
gempar,1.39,2.97,1.39,1.41,1.45
giat,1.45,1.92,1.84,1.97,1.29
gigih,1.45,1.92,1.84,1.97,1.29
heboh,1.39,2.97,1.39,1.41,1.45
