waktu,username,text
2021-01-22 00:38:16 +0700,sharonmeilianaw," - lain bahkan orang terdekat, terbatas untuk melakukan banyak hal dan akhirnya membuat kita menjadi cemas bahkan depresi.  Oleh karena itu, aku disini mau berbagi bagaimana cara untuk menjaga mental health kita selama masa pandemi COVID-19 ini, yuk baca poster diatas dan"
2021-08-09 01:44:29 +0700,AriepBastian," ""gausah resign tahan aja dulu, nyari kerja sekarang susah apalagi pandemi gini""  But menurut gue kesehatan mental jauh lebih penting daripada gaji"
2021-11-20 20:16:45 +0700,kominfomagelang," ""Pandemi COVID-19 telah menunjukkan bagaimana ketidaksetaraan memengaruhi hak setiap anak. Mulai dari krisis iklim, pendidikan dan kesehatan mental, hingga mengakhiri rasisme dan diskriminasi."" - UNICEF (United Nations International Children's Emergency Fund) -  https://t.co/NfhoMZo2VZ"
2021-08-01 14:48:18 +0700,nuna_biha," #Olympics start masa #MAS tgh kritikal covid. Berbulan atlet tak jumpa family, gerak ke Tokyo tak de family yg dpt ikut, support dri jauh je. Hanya team dan coach je peneman kat sana. Boleh fikir tak struggle atlet2 kita? Tak dpt imagine mental health dorang mcm mana Ã°Å¸ËœÂ­"
2021-08-09 09:57:26 +0700,ishinshishisimp," // vent ""Hrsnya targetnya semester ini lulus semua"" tapi.... WE CAN'T, CUZ EVERYONE STRESSED TOO MUCH. Kalo ngomong mental gk stabil sejak pandemi takutnya malah gk percaya.  SATTTTTTTT Mau yg punya atau gk punya beasiswa pun kalo ngerasa down atau depresi, rasanya(cont)"
2021-08-03 14:51:58 +0700,jaehyunzaka," @8ightrack Mental health ku keganggu bgt pas psbb dulu, pas ppkm sih bukan udah sembuh ya, cuma udah mendingan aja, udah bisa adaptasi sama pandemi lah. But don't ever you give up yourself ok? I'm here for you, ceritain aja semuanya kaya semalem.  Yes you too adek! Ã°Å¸Â¤â€”Ã¢ÂÂ¤Ã¯Â¸Â"
2021-08-08 06:46:12 +0700,FaGtng," @ABSetyono @PlateJohnny @kemkominfo @KSPgoid @gibran_tweet @DS_yantie @maman1965 @selfmirror_ @TMCPoldaMetro Di masa pandemi seperti sekarang ini , sangat dibutuhkan mental gotong-royong , saling dukung bekerjasama untuk keluar dari himpitan Covid-19.   @kemkominfo  @PlateJohnny"
2021-07-30 12:35:22 +0700,ervinalannur," @afrkml Hallo ners, Allah baik banget meskipun babak belur fisik dan mental di hantam lonjakan pasien IGD Covid, tapi Allah ngasih aku berkah buat selalu profesional melayani sampe hari ini di saat temen2 harus isoman, RT-PCR bisa rutin seminggu sekali. Ã°Å¸ËœÂ£"
2021-08-11 06:55:39 +0700,boncusho," @Agwss1 @NyaiiBubu kondisi mental yg ""cape"" sama pandemi ini + tekanan ekonomi + provokasi(ajakan) bergembira berlandaskan acara agama kelar dah... kl perhatikan makin banyak yg abai belakangan ini."
2021-10-13 18:45:00 +0700,hariankompas," @aik_arif @gandhawangi @KompasData @deonisiaarlinta Saat pandemi belum juga mereda, siapapun bisa mengalami gangguan kesehatan mental. Bukan perkara sederhana, mendatangi ahli di bidang ini sedikit banyak bisa meringankan beban. #AdadiKompas #PeduliSehatJiwa #WorldMentalHealthDay  @abdullah_fikri    https://t.co/atIPqfEiSb"
