,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
0,orang terdekat terbatas cemas depresi berbagi menjaga mental kesehatan pandemi covid yuk baca poster diatas,0.57,1.205,2.045,1.51,0.915,Fear
1,targetnya semester lulus can cuz everyone stressed too much bicara mental stabil pandemi takutnya percaya satttttttt beasiswa down depresi cont,0.57,1.205,2.045,1.51,0.915,Fear
2,mental kesehatan terganggu psbb ppkm sih sembuh hanya adaptasi pandemi don ever you give yourself here for you ceritain kaya semalam yes you too adik,0.2,0.2,0.2,0.2,0.2,Neutral
3,hallo ners allah babak belur fisik mental hantam lonjakan pasien igd covid allah kasih berkah profesional melayani teman teman isoman pacar rutin seminggu,0.2,0.2,0.2,0.2,0.2,Neutral
4,patokan kena covid nya langsung mental riskan dipisah chemistry oke senior sulit pekerjaan dibanding benahi kkurangan xdterbaik indonesia gap pelapis,0.825,1.11,1.105,0.875,0.7,Anger
5,pikir orang kena dampak pandemi mentalnya mah mental jalan coba pikirin orang jalan,0.2,0.2,0.2,0.2,0.2,Neutral
6,berat sih didukung dosen supportif mikir biaya kuliah skripsi direspon respon semangat masnya semoga dilancarkan uruannya and again kesehatan mental main main teman semester semangatin,1.4325,0.89,1.0025,0.765,0.73,Happiness
7,kesehatan mental stabil kasihan anak,0.525,1.75,1.735,1.955,1.0,Sadness
8,akibat pandemi anak perempuan benar  berat ngilang tanggung adik ngejar materi jalan pelan mental sehat don know what supposed,0.57875,0.78,0.62625,0.67625,0.7725,Anger
9,doi trauma serangan mental hebat lur dadi tulung dipahami dimesaakke adewe kudu iso ngerti konteks pandemi serba sulit gimana tulang punggung keluarga,0.49125,0.88,1.29875,0.97375,0.6325,Fear
10,semoga enhypen members kesehatan amp kekuatan fisik mental maju meraih prestasi semoga karirnya sukses dikenal orang pokoknya terbaik all rules done bismillah wish luck pype mpicx,2.04,0.67,0.9,0.655,0.76,Happiness
11,mediteraniaq kpipusat andai masnya resign bertahan lingkup kantor toxic alesannya tanggungan keluarga kesehatan mental utama semoga masnya kekuatan perlahan sembuh traumanya,0.285,0.6025,1.0225,0.755,0.4575,Fear
12,redvelfess seulgi kritik film amp art joy rekomendasi lagu wendy encouraging threads mental kesehatan irene mengaktifkan sixth sense yeri kegiatan produktif pandemi red velvet queen back redvelvet rvsmtown,0.725,0.96,0.985,0.92,0.645,Fear
13,schfess relete issue kondisi sender aktual pandemi covid mental kesehatan penggunaan sosial media karantina kekerasan hewan,0.825,1.11,1.105,0.875,0.7,Anger
14,sfsso ingatlah teman industri entertainment indonesia mengkhawatirkan ucapan netizen netizen abcd didengarkan mental orang indo bebal kuat,0.57,1.205,2.045,1.51,0.915,Fear
15,shuabaragi collegemenfess dianya down untung lulus revisinya gara gara pandemi sidang online dosen pengujinya lunak kasihan untungnya dibantai sih cumay diikasih salah gini kena mental,0.2625,0.875,0.8675,0.9775,0.5,Sadness
16,steffinner bertanyarl benerrr bgttt allah ampe sediiihhhh orang menganggap orang kesehatan mental iman ibadah tuhan nya dikaitkan ibadah faktor agama sih jujuurr sediiihh asli,0.2,0.2,0.2,0.2,0.2,Neutral
17,susipudjiastuti sedih pendemi covid orang dagang kesulitan hidup nelangsa kuat mental depresi berat menghadapi hidup,0.3125,0.768333,0.7625,0.7975,0.45,Sadness
18,tempodotco didienazhar proyek prioritas dibutuhkan rakyat pandemi ditunda butuh keberanian berpihak rakyat butuh mental penjilat membantu cukong kroninya pengorbanan kearifan pemimpin dibutuhkan krisis cuci tangan,0.2,0.2,0.2,0.2,0.2,Neutral
19,tirta cipeng bisikam dok everton menang saran biar begadang takut mengganggu kesehatan fisik mental,0.475,1.17625,1.19375,1.1425,0.83375,Fear
